month,melt_on_glacier_monthly
1984-01,0.0
1984-02,0.0
1984-03,0.0
1984-04,0.0
1984-05,55317.19882260922
1984-06,1328525.6308619725
1984-07,3188382.9177672267
1984-08,3233747.9917848124
1984-09,1283174.4003213537
1984-10,0.0
1984-11,0.0
1984-12,0.0
1985-01,0.0
1985-02,0.0
1985-03,0.0
1985-04,0.0
1985-05,355932.1516262988
1985-06,1700418.1921291796
1985-07,4160134.18832246
1985-08,3249155.0358387767
1985-09,1108241.4305122339
1985-10,5767.824403129509
1985-11,0.0
1985-12,0.0
1986-01,0.0
1986-02,0.0
1986-03,0.0
1986-04,0.0
1986-05,352526.81406353984
1986-06,2373767.3467560816
1986-07,2555319.2317169956
1986-08,4143801.271875469
1986-09,1420689.203032371
1986-10,236443.07849871065
1986-11,0.0
1986-12,0.0
1987-01,0.0
1987-02,0.0
1987-03,0.0
1987-04,4054.8189290127007
1987-05,529577.9566038908
1987-06,2146282.912539311
1987-07,3234894.8938312144
1987-08,3325603.3307546396
1987-09,2418449.750138637
1987-10,263353.0430286633
1987-11,0.0
1987-12,0.0
1988-01,0.0
1988-02,0.0
1988-03,0.0
1988-04,0.0
1988-05,293306.8691095664
1988-06,1512131.5400466116
1988-07,3142177.7094310145
1988-08,3277979.194191243
1988-09,1829098.3958580573
1988-10,531669.3261578359
1988-11,0.0
1988-12,0.0
1989-01,0.0
1989-02,0.0
1989-03,0.0
1989-04,0.0
1989-05,264770.78288340534
1989-06,2372849.3353486476
1989-07,3052330.07757138
1989-08,3142905.3913540007
1989-09,2236958.7165325363
1989-10,126330.10435565103
1989-11,0.0
1989-12,0.0
1990-01,0.0
1990-02,0.0
1990-03,0.0
1990-04,0.0
1990-05,188696.4416836453
1990-06,1601456.1904238437
1990-07,3952034.922386067
1990-08,3816403.653319178
1990-09,2505531.3003543476
1990-10,0.0
1990-11,0.0
1990-12,0.0
1991-01,0.0
1991-02,0.0
1991-03,0.0
1991-04,0.0
1991-05,192075.8202029189
1991-06,1115490.459859892
1991-07,3532590.1225214913
1991-08,3806239.8024752676
1991-09,2438033.155785413
1991-10,43007.58882272563
1991-11,0.0
1991-12,0.0
1992-01,0.0
1992-02,0.0
1992-03,0.0
1992-04,0.0
1992-05,1014123.8084008889
1992-06,2828729.0960220573
1992-07,3282404.6453369097
1992-08,3509187.0430581975
1992-09,1331696.6929212855
1992-10,186949.48540683018
1992-11,0.0
1992-12,0.0
1993-01,0.0
1993-02,0.0
1993-03,0.0
1993-04,0.0
1993-05,1467600.8422445497
1993-06,1558113.9804897087
1993-07,2282039.5790829905
1993-08,3141714.172655397
1993-09,2146290.584103866
1993-10,532799.4251757751
1993-11,0.0
1993-12,0.0
1994-01,0.0
1994-02,0.0
1994-03,0.0
1994-04,41761.38664016931
1994-05,881312.0830759781
1994-06,1693398.6387728453
1994-07,3904132.2507565557
1994-08,3858999.5029763123
1994-09,2956674.988477823
1994-10,109984.8855209731
1994-11,0.0
1994-12,0.0
1995-01,0.0
1995-02,0.0
1995-03,0.0
1995-04,0.0
1995-05,1107880.6552042011
1995-06,2053971.593250049
1995-07,3765921.447676608
1995-08,2504476.029431415
1995-09,2864885.0778660686
1995-10,54443.211286440484
1995-11,0.0
1995-12,0.0
1996-01,0.0
1996-02,0.0
1996-03,0.0
1996-04,0.0
1996-05,11125.432466215869
1996-06,1553681.3077913881
1996-07,3798462.9184655305
1996-08,3573997.0884270505
1996-09,1508796.3624696485
1996-10,11122.895758832095
1996-11,0.0
1996-12,0.0
1997-01,0.0
1997-02,0.0
1997-03,0.0
1997-04,0.0
1997-05,1223621.8416329436
1997-06,1968225.0241858182
1997-07,3656068.9944193023
1997-08,4549574.63432426
1997-09,2812131.8600038164
1997-10,111357.167115017
1997-11,0.0
1997-12,0.0
1998-01,0.0
1998-02,0.0
1998-03,0.0
1998-04,0.0
1998-05,624098.0014327982
1998-06,2071238.8164912036
1998-07,4069250.8956143763
1998-08,3933013.3507055836
1998-09,2661546.079280324
1998-10,171648.5305047005
1998-11,0.0
1998-12,0.0
1999-01,0.0
1999-02,0.0
1999-03,0.0
1999-04,0.0
1999-05,20949.726627840933
1999-06,1329749.386350718
1999-07,2900624.092225768
1999-08,3573842.4120889152
1999-09,1823469.3016685545
1999-10,20946.715515201773
1999-11,0.0
1999-12,0.0
2000-01,0.0
2000-02,0.0
2000-03,0.0
2000-04,0.0
2000-05,264817.25690737145
2000-06,2113110.2035904382
2000-07,3611499.8747917465
2000-08,3461663.9562152284
2000-09,1963289.527731985
2000-10,130417.08889535998
2000-11,0.0
2000-12,0.0
2001-01,0.0
2001-02,0.0
2001-03,0.0
2001-04,0.0
2001-05,330719.548436798
2001-06,1117078.290115346
2001-07,3027864.483704278
2001-08,3528285.677350242
2001-09,2163446.329932457
2001-10,3439.2690979275612
2001-11,0.0
2001-12,0.0
2002-01,0.0
2002-02,0.0
2002-03,0.0
2002-04,0.0
2002-05,41862.632803314875
2002-06,2027077.0765504057
2002-07,3573896.7384954183
2002-08,3209940.804394112
2002-09,1845085.2254708328
2002-10,0.0
2002-11,0.0
2002-12,0.0
2003-01,0.0
2003-02,0.0
2003-03,0.0
2003-04,0.0
2003-05,193211.65027673086
2003-06,2390965.645363529
2003-07,4028608.705375537
2003-08,3710150.7315635765
2003-09,2436457.6584490477
2003-10,581466.7911551273
2003-11,0.0
2003-12,0.0
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,10263.879992406304
2004-05,502772.2843272311
2004-06,2387903.1763257636
2004-07,4113748.3456258583
2004-08,4022922.413676875
2004-09,1661254.140114966
2004-10,218187.20282395018
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,1018089.868172937
2005-06,1604518.1996584802
2005-07,3453942.459715282
2005-08,3724580.511288187
2005-09,1559379.7372420225
2005-10,268532.7924941799
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,463503.0755906332
2006-06,2324551.198110786
2006-07,3989934.8110899897
2006-08,3359797.827736245
2006-09,2189510.070601725
2006-10,66977.80922534995
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,434039.6052447185
2007-06,1662205.6402069174
2007-07,4106340.7799424534
2007-08,3336912.05934347
2007-09,1662233.2658252069
2007-10,11756.673558858984
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,544468.9597795001
2008-06,1388810.204937859
2008-07,3288219.5721310074
2008-08,3514340.7207020707
2008-09,1976705.8693471346
2008-10,43852.39349721511
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,329166.2385518654
2009-06,2414301.6049194597
2009-07,4169994.552264458
2009-08,3584781.8876214363
2009-09,2414301.6049194597
2009-10,2962.957024860757
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,67655.39876474233
2010-06,1424583.4712839825
2010-07,3357859.6180410166
2010-08,3357859.6180410166
2010-09,1964078.145566905
2010-10,218144.44711454195
2010-11,0.0
2010-12,0.0
2011-01,0.0
2011-02,0.0
2011-03,0.0
2011-04,0.0
2011-05,20536.16243708408
2011-06,1468922.1598183508
2011-07,2861195.755175591
2011-08,3534882.2747616833
2011-09,2591723.8885228503
2011-10,96057.85671313111
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,0.0
2012-05,174914.21250131712
2012-06,1164779.9670525608
2012-07,3333347.174237939
2012-08,3830331.4610434454
2012-09,2203875.0337755545
2012-10,115189.17155617695
2012-11,0.0
2012-12,0.0
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,0.0
2013-05,755972.0165755536
2013-06,2245679.780761403
2013-07,3961600.7120634504
2013-08,3961600.7120634504
2013-09,2516618.2910999046
2013-10,1155.5532567162816
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,929163.7780578019
2014-06,1871218.8199058925
2014-07,4248739.369761414
2014-08,4069278.8015109617
2014-09,2633799.6036287686
2014-10,1108596.9665587307
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,1108870.773114305
2015-06,3030536.5406033504
2015-07,4415977.091766158
2015-08,4013750.215862774
2015-09,1779244.353450636
2015-10,1064204.6596400212
2015-11,0.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,0.0
2016-04,176344.676714334
2016-05,1066353.08967504
2016-06,2268641.632065729
2016-07,3426412.0418426334
2016-08,3871688.4921954568
2016-09,1823351.5925393358
2016-10,277709.8630633733
2016-11,0.0
2016-12,0.0
2017-01,0.0
2017-02,0.0
2017-03,0.0
2017-04,0.0
2017-05,626972.9491200716
2017-06,2133667.3924815096
2017-07,3823199.859422918
2017-08,4267797.955651359
2017-09,2489364.865323959
2017-10,35948.29976664362
2017-11,0.0
2017-12,0.0
2018-01,0.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,1422172.7096292018
2018-06,1866102.2043327033
2018-07,3996931.264542223
2018-08,3686175.199188557
2018-09,1644123.9093279159
2018-10,102253.78169691142
2018-11,0.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,0.0
2019-04,0.0
2019-05,1111287.1098152727
2019-06,2086279.0451370375
2019-07,3327182.790032541
2019-08,3903340.823084839
2019-09,1864701.6494681218
2019-10,0.0
2019-11,0.0
2019-12,0.0
