date,runoff
10/1/2005,60656
10/2/2005,25868
10/3/2005,17840
10/4/2005,13826
10/5/2005,11150
10/6/2005,75374
10/7/2005,39694
10/8/2005,14272
10/9/2005,15164
10/10/2005,50844
10/11/2005,37018
10/12/2005,119082
10/13/2005,35234
10/14/2005,34788
10/15/2005,50398
10/16/2005,35680
10/17/2005,39694
10/18/2005,56196
10/19/2005,51736
10/20/2005,18732
11/1/2005,8028
11/2/2005,7136
11/3/2005,5798
11/4/2005,5352
11/5/2005,5798
11/6/2005,5352
11/7/2005,5352
11/8/2005,5352
11/9/2005,4906
11/10/2005,28990
11/11/2005,18286
11/12/2005,7582
11/13/2005,6244
11/14/2005,5352
11/15/2005,5352
11/16/2005,4906
11/17/2005,4460
11/18/2005,4460
11/19/2005,4460
11/20/2005,4460
7/1/2006,113284
7/2/2006,126218
7/3/2006,152532
7/4/2006,207836
7/5/2006,193118
7/6/2006,109270
7/7/2006,114176
7/8/2006,134692
7/9/2006,169034
7/10/2006,119082
7/11/2006,105702
7/12/2006,116406
7/13/2006,94552
7/14/2006,82510
7/15/2006,102580
7/16/2006,108378
7/17/2006,77604
7/18/2006,66454
7/19/2006,56642
7/20/2006,71360
8/1/2006,58426
8/2/2006,61548
8/3/2006,67346
8/4/2006,64670
8/5/2006,74482
8/6/2006,96782
8/7/2006,94552
8/8/2006,97228
8/9/2006,81172
8/10/2006,75820
8/11/2006,78496
8/12/2006,70914
8/13/2006,88754
8/14/2006,41478
8/15/2006,84294
8/16/2006,58872
8/17/2006,86078
8/18/2006,91430
8/19/2006,107040
8/20/2006,90984
9/1/2006,51736
9/2/2006,75374
9/3/2006,96782
9/4/2006,107040
9/5/2006,98566
9/6/2006,90538
9/7/2006,86078
9/8/2006,74036
9/9/2006,60656
9/10/2006,65562
9/11/2006,78050
9/12/2006,40140
9/13/2006,28990
9/14/2006,17394
9/15/2006,14718
9/16/2006,37464
9/17/2006,45046
9/18/2006,42816
9/19/2006,50844
9/20/2006,50844