date,runoff
2002-10-01,28098
2002-10-02,24084
2002-10-03,42370
2002-10-04,36126
2002-10-05,37910
2002-10-06,39248
2002-10-07,45046
2002-10-08,43262
2002-10-09,42816
2002-10-10,35680
2002-10-11,28098
2002-10-12,23638
2002-10-13,20070
2002-10-14,17394
2002-10-15,20962
2002-10-16,20962
2002-10-17,19624
2002-10-18,16948
2002-10-19,16948
2002-10-20,18732
2002-10-21,17394
2002-10-22,16948
2002-10-23,14718
2002-10-24,12934
2002-10-25,11150
2002-10-26,10258
2002-10-27,9366
2002-10-28,8920
2002-10-29,7582
2002-10-30,6244
2002-10-31,6244
2002-11-01,5352
2002-11-02,4906
2002-11-03,4906
2002-11-04,4906
2002-11-05,4906
2002-11-06,8474
2002-11-07,10258
2002-11-08,8474
2002-11-09,7136
2002-11-10,6244
2002-11-11,5798
2002-11-12,17840
2002-11-13,13380
2002-11-14,8474
2002-11-15,7136
2002-11-16,6690
2002-11-17,6690
2002-11-18,7136
2002-11-19,7582
2002-11-20,7136
2002-11-21,5798
2002-11-22,46830
2002-11-23,28098
2002-11-24,21854
2002-11-25,17394
2002-11-26,14272
2002-11-27,13826
2002-11-28,14718
2002-11-29,16502
2002-11-30,17394
2003-06-09,138260
2003-06-10,128894
2003-06-11,118636
2003-06-12,109716
2003-06-13,107932
2003-06-14,92322
2003-06-15,82064
2003-06-16,89200
2003-06-17,121758
2003-06-18,119082
2003-06-19,96782
2003-06-20,80726
2003-06-21,64670
2003-06-22,50844
2003-06-23,42816
2003-06-24,41924
2003-06-25,66454
2003-06-26,94106
2003-06-27,144058
2003-06-28,144950
2003-06-29,160114
2003-06-30,165466
2003-07-01,115960
2003-07-02,92768
2003-07-03,85632
2003-07-04,84294
2003-07-05,107932
2003-07-06,121758
2003-07-07,124434
2003-07-08,122650
2003-07-09,114176
2003-07-10,136922
2003-07-11,157438
2003-07-12,163682
2003-07-13,173494
2003-07-14,144504
2003-07-15,123988
2003-07-16,116406
2003-07-17,117744
2003-07-18,124434
2003-07-19,128448
2003-07-20,128448
2003-07-21,131124
2003-07-22,141828
2003-07-23,146734
2003-07-24,131124
2003-07-25,116852
2003-07-26,125326
2003-07-27,136922
2003-07-28,140044
2003-07-29,159668
2003-07-30,164574
2003-07-31,173494
2003-08-01,161006
2003-08-02,142274
2003-08-03,122650
2003-08-04,116406
2003-08-05,121312
2003-08-06,134246
2003-08-07,115960
2003-08-08,120866
2003-08-09,135138
2003-08-10,109270
2003-08-11,90092
2003-08-12,94106
2003-08-13,99012
2003-08-14,96782
2003-08-15,119528
2003-08-16,118190
2003-08-17,118190
2003-08-18,119528
2003-08-19,114622
2003-08-20,108824
2003-08-21,114176
2003-08-22,102134
2003-08-23,90092
2003-08-24,78496
2003-08-25,97228
2003-08-26,103026
2003-08-27,97228
2003-08-28,93214
2003-08-29,94552
2003-08-30,110608
2003-08-31,105256
2003-09-01,99904
2003-09-02,116852
2003-09-03,137814
2003-09-04,136476
2003-09-05,123542
2003-09-06,112392
2003-09-07,109716
2003-09-08,92768
2003-09-09,70468
2003-09-10,99904
2003-09-11,177954
2003-09-12,105702
2003-09-13,70914
2003-09-14,62440
2003-09-15,53074
2003-09-16,41032
2003-09-17,32112
2003-09-18,78496
2003-09-19,117298
2003-09-20,69130
2003-09-21,58872
2003-09-22,76266
2003-09-23,90538
2003-09-24,77158
2003-09-25,92322
2003-09-26,98566
2003-09-27,132908
2003-09-28,132462
2003-09-29,118190
2003-09-30,112838